show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Get Out,Jordan Peele,"Daniel Kaluuya, Allison Williams",United States,"March 22, 2019",2017,R,104 min,"Horror Movies, Thrillers",A chilling story designed to unsettle and terrify.
s2,TV Show,Black Mirror,,Anthology series,United Kingdom,"February 23, 2020",2011,TV-MA,6 Seasons,"British TV Shows, TV Sci-Fi & Fantasy",An engaging story that captivated audiences worldwide.
s3,Movie,Finding Nemo,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",United States,"August 08, 2016",2003,G,100 min,Children & Family Movies,A heartwarming story for viewers of all ages.
s4,Movie,Knives Out,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas",United States,"September 29, 2019",2019,PG-13,130 min,"Comedies, Thrillers",A lighthearted tale full of humor and unexpected laughs.
s5,Movie,Pulp Fiction,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman",United States,"July 25, 2016",1994,R,154 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
s6,Movie,Se7en,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",United States,"October 07, 2017",1995,R,127 min,"Thrillers, Crime Movies",A suspenseful ride that keeps viewers on the edge of their seats.
s7,Movie,Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron",United States,"April 18, 2021",2015,R,120 min,"Action & Adventure, Sci-Fi & Fantasy",A high-stakes adventure packed with action and spectacle.
s8,TV Show,Death Note,,"Mamoru Miyano, Aya Hisakawa",Japan,"January 16, 2021",2006,TV-14,1 Seasons,"Anime Series, International TV Shows",An engaging story that captivated audiences worldwide.
s9,Movie,Trainspotting,Danny Boyle,"Ewan McGregor, Ewen Bremner",United Kingdom,"December 12, 2017",1996,R,93 min,"Dramas, Cult Movies",A gripping story exploring complex characters and difficult choices.
s10,TV Show,Lupin,,"Omar Sy, Ludivine Sagnier",France,"August 08, 2021",2021,TV-14,3 Seasons,"Crime TV Shows, International TV Shows",An engaging story that captivated audiences worldwide.
s11,Movie,Y Tu Mama Tambien,Alfonso Cuaron,"Maribel Verdu, Gael Garcia Bernal",Mexico,"July 18, 2021",2001,R,106 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s12,Movie,Lionheart,Genevieve Nnaji,"Genevieve Nnaji, Nkem Owoh",Nigeria,"March 28, 2020",2018,PG,95 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s13,Movie,Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Ke Huy Quan",United States,"January 22, 2019",2022,R,139 min,"Sci-Fi & Fantasy, Comedies",A imaginative journey into speculative and fantastical worlds.
s14,Movie,Roma,Alfonso Cuaron,"Yalitza Aparicio, Marina de Tavira",Mexico,"March 26, 2019",2018,R,135 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s15,Movie,Inside Out,Pete Docter,"Amy Poehler, Phyllis Smith",United States,"July 20, 2016",2015,PG,95 min,Children & Family Movies,A heartwarming story for viewers of all ages.
s16,Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi",India,"September 18, 2020",2009,PG-13,170 min,"Comedies, Dramas, International Movies",A lighthearted tale full of humor and unexpected laughs.
s17,Movie,The Intouchables,"Olivier Nakache, Eric Toledano","Francois Cluzet, Omar Sy",France,"July 14, 2020",2011,R,112 min,"Comedies, Dramas, International Movies",A lighthearted tale full of humor and unexpected laughs.
s18,Movie,Goodfellas,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",United States,"January 08, 2016",1990,R,145 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
s19,TV Show,Downton Abbey,,"Hugh Bonneville, Maggie Smith",United Kingdom,"July 12, 2015",2010,TV-14,6 Seasons,"British TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s20,TV Show,House of Cards,,"Kevin Spacey, Robin Wright",United States,"March 25, 2016",2013,TV-MA,6 Seasons,TV Dramas,A gripping story exploring complex characters and difficult choices.
s21,Movie,Bajrangi Bhaijaan,Kabir Khan,"Salman Khan, Kareena Kapoor Khan",India,"September 18, 2016",2015,PG-13,163 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s22,Movie,Lagaan,Ashutosh Gowariker,"Aamir Khan, Gracy Singh",India,"October 17, 2016",2001,PG,224 min,"Dramas, International Movies, Sports Movies",A gripping story exploring complex characters and difficult choices.
s23,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,"March 22, 2021",2019,R,209 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
s24,Movie,Train to Busan,Yeon Sang-ho,"Gong Yoo, Ma Dong-seok",South Korea,"September 25, 2020",2016,TV-MA,118 min,"Horror Movies, International Movies",A chilling story designed to unsettle and terrify.
s25,TV Show,Crash Landing on You,,"Hyun Bin, Son Ye-jin",South Korea,"September 02, 2020",2019,TV-14,1 Seasons,"International TV Shows, Romantic TV Shows",An engaging story that captivated audiences worldwide.
s26,Movie,Your Name,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi",Japan,"September 17, 2016",2016,TV-PG,106 min,"Anime Features, International Movies",An animated feature with striking visuals and storytelling.
s27,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol",India,"April 26, 2019",2011,TV-14,155 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s28,TV Show,Dark,,"Louis Hofmann, Karoline Eichhorn",Germany,"February 21, 2019",2017,TV-MA,3 Seasons,"International TV Shows, TV Sci-Fi & Fantasy",An engaging story that captivated audiences worldwide.
s29,Movie,Birdman,Alejandro G. Inarritu,"Michael Keaton, Emma Stone",United States,"September 06, 2021",2014,R,119 min,"Dramas, Comedies",A gripping story exploring complex characters and difficult choices.
s30,TV Show,The Office,,"Steve Carell, Rainn Wilson, John Krasinski",United States,"April 01, 2020",2005,TV-14,9 Seasons,TV Comedies,A lighthearted tale full of humor and unexpected laughs.
s31,Movie,Run Lola Run,Tom Tykwer,"Franka Potente, Moritz Bleibtreu",Germany,"December 07, 2020",1998,R,81 min,"International Movies, Thrillers",A culturally rich story from filmmakers around the world.
s32,TV Show,Friends,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow",United States,"October 26, 2017",1994,TV-14,10 Seasons,TV Comedies,A lighthearted tale full of humor and unexpected laughs.
s33,TV Show,Squid Game,,"Lee Jung-jae, Park Hae-soo",South Korea,"January 06, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Thrillers",An engaging story that captivated audiences worldwide.
s34,Movie,Moonlight,Barry Jenkins,"Trevante Rhodes, Andre Holland",United States,"April 14, 2017",2016,R,111 min,Dramas,A gripping story exploring complex characters and difficult choices.
s35,TV Show,Fleabag,,Phoebe Waller-Bridge,United Kingdom,"December 28, 2018",2016,TV-MA,2 Seasons,"British TV Shows, TV Comedies",An engaging story that captivated audiences worldwide.
s36,Movie,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",United States,"October 25, 2018",2014,PG-13,169 min,"Sci-Fi & Fantasy, Dramas",A imaginative journey into speculative and fantastical worlds.
s37,Movie,Skyfall,Sam Mendes,"Daniel Craig, Javier Bardem",United Kingdom,"April 01, 2016",2012,PG-13,143 min,Action & Adventure,A high-stakes adventure packed with action and spectacle.
s38,Movie,Queen,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao",India,"April 17, 2018",2013,TV-14,146 min,"Comedies, Dramas, International Movies",A lighthearted tale full of humor and unexpected laughs.
s39,Movie,Oppenheimer,Christopher Nolan,"Cillian Murphy, Emily Blunt",United States,"November 16, 2019",2023,R,180 min,"Dramas, Historical Movies",A gripping story exploring complex characters and difficult choices.
s40,Movie,PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma",India,"October 09, 2016",2014,PG-13,153 min,"Comedies, International Movies",A lighthearted tale full of humor and unexpected laughs.
s41,Movie,Fight Club,David Fincher,"Brad Pitt, Edward Norton, Helena Bonham Carter",United States,"February 02, 2020",1999,R,139 min,Dramas,A gripping story exploring complex characters and difficult choices.
s42,TV Show,Delhi Crime,,"Shefali Shah, Rasika Dugal",India,"January 04, 2019",2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows",An engaging story that captivated audiences worldwide.
s43,TV Show,The Umbrella Academy,,"Elliot Page, Tom Hopper",United States,"September 03, 2021",2019,TV-14,4 Seasons,TV Sci-Fi & Fantasy,A imaginative journey into speculative and fantastical worlds.
s44,Movie,Slumdog Millionaire,Danny Boyle,"Dev Patel, Freida Pinto",United Kingdom,"December 14, 2017",2008,R,120 min,"Dramas, Romantic Movies",A gripping story exploring complex characters and difficult choices.
s45,TV Show,Wednesday,,"Jenna Ortega, Catherine Zeta-Jones",United States,"August 12, 2020",2022,TV-14,2 Seasons,"TV Comedies, TV Horror",A lighthearted tale full of humor and unexpected laughs.
s46,TV Show,Orange Is the New Black,,"Taylor Schilling, Uzo Aduba",United States,"January 01, 2017",2013,TV-MA,7 Seasons,"TV Comedies, TV Dramas",A lighthearted tale full of humor and unexpected laughs.
s47,Movie,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",United States,"September 10, 2020",2008,PG-13,152 min,Action & Adventure,A high-stakes adventure packed with action and spectacle.
s48,Movie,Mad Max 2,George Miller,"Mel Gibson, Bruce Spence",Australia,"March 11, 2016",1981,R,96 min,"Action & Adventure, Sci-Fi & Fantasy",A high-stakes adventure packed with action and spectacle.
s49,TV Show,Kota Factory,,"Jitendra Kumar, Mayur More",India,"June 10, 2021",2019,TV-14,3 Seasons,"International TV Shows, TV Comedies",An engaging story that captivated audiences worldwide.
s50,Movie,Parasite,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun",South Korea,"October 02, 2020",2019,R,132 min,"Dramas, Thrillers, International Movies",A gripping story exploring complex characters and difficult choices.
s51,TV Show,Stranger Things,,"Millie Bobby Brown, Finn Wolfhard",United States,"May 07, 2019",2016,TV-14,4 Seasons,"TV Sci-Fi & Fantasy, TV Horror",A imaginative journey into speculative and fantastical worlds.
s52,Movie,The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield",United States,"September 10, 2020",2010,PG-13,120 min,Dramas,A gripping story exploring complex characters and difficult choices.
s53,TV Show,Ozark,,"Jason Bateman, Laura Linney",United States,"June 01, 2020",2017,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s54,TV Show,Narcos,,"Wagner Moura, Pedro Pascal",United States,"March 25, 2017",2015,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s55,TV Show,Money Heist,,"Ursula Corbero, Alvaro Morte",Spain,"November 10, 2017",2017,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows",An engaging story that captivated audiences worldwide.
s56,Movie,Joker,Todd Phillips,"Joaquin Phoenix, Robert De Niro",United States,"January 18, 2020",2019,R,122 min,"Dramas, Thrillers",A gripping story exploring complex characters and difficult choices.
s57,Movie,Spirited Away,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino",Japan,"October 23, 2016",2001,PG,125 min,"Anime Features, Children & Family Movies",An animated feature with striking visuals and storytelling.
s58,Movie,Gully Boy,Zoya Akhtar,"Ranveer Singh, Alia Bhatt",India,"July 06, 2020",2019,TV-14,154 min,"Dramas, International Movies, Music & Musicals",A gripping story exploring complex characters and difficult choices.
s59,Movie,Her,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson",United States,"December 12, 2020",2013,R,126 min,"Romantic Movies, Sci-Fi & Fantasy","A heartfelt story about love, connection, and relationships."
s60,Movie,The Matrix,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",United States,"January 03, 2015",1999,R,136 min,"Sci-Fi & Fantasy, Action & Adventure",A imaginative journey into speculative and fantastical worlds.
s61,Movie,There Will Be Blood,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",United States,"September 19, 2021",2007,R,158 min,Dramas,A gripping story exploring complex characters and difficult choices.
s62,Movie,City of God,"Fernando Meirelles, Katia Lund","Alexandre Rodrigues, Leandro Firmino",Brazil,"August 20, 2018",2002,R,130 min,"Crime Movies, International Movies",A tense look into the criminal underworld and its consequences.
s63,TV Show,Peaky Blinders,,"Cillian Murphy, Paul Anderson",United Kingdom,"June 24, 2020",2013,TV-MA,6 Seasons,"British TV Shows, Crime TV Shows",An engaging story that captivated audiences worldwide.
s64,Movie,The Godfather,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",United States,"March 21, 2015",1972,R,175 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
s65,Movie,No Country for Old Men,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem",United States,"April 03, 2016",2007,R,122 min,"Crime Movies, Thrillers",A tense look into the criminal underworld and its consequences.
s66,TV Show,BoJack Horseman,,"Will Arnett, Amy Sedaris",United States,"January 26, 2019",2014,TV-MA,6 Seasons,TV Comedies,A lighthearted tale full of humor and unexpected laughs.
s67,TV Show,Sherlock,,"Benedict Cumberbatch, Martin Freeman",United Kingdom,"June 13, 2018",2010,TV-14,4 Seasons,"British TV Shows, Crime TV Shows",An engaging story that captivated audiences worldwide.
s68,Movie,The Departed,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",United States,"September 07, 2017",2006,R,151 min,"Crime Movies, Dramas",A tense look into the criminal underworld and its consequences.
s69,TV Show,The Crown,,"Claire Foy, Olivia Colman, Imelda Staunton",United Kingdom,"August 25, 2016",2016,TV-MA,6 Seasons,"British TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s70,TV Show,Schitt's Creek,,"Eugene Levy, Catherine O'Hara",Canada,"September 13, 2017",2015,TV-14,6 Seasons,TV Comedies,A lighthearted tale full of humor and unexpected laughs.
s71,Movie,Dune,Denis Villeneuve,"Timothee Chalamet, Rebecca Ferguson",United States,"February 10, 2021",2021,PG-13,155 min,"Sci-Fi & Fantasy, Action & Adventure",A imaginative journey into speculative and fantastical worlds.
s72,Movie,Chief Daddy,Niyi Akinmolayan,"Funke Akindele, Rachel Oniga",Nigeria,"June 25, 2018",2018,PG-13,105 min,"Comedies, International Movies",A lighthearted tale full of humor and unexpected laughs.
s73,TV Show,3%,,"Bianca Comparato, Michel Gomes",Brazil,"June 13, 2021",2016,TV-MA,4 Seasons,"International TV Shows, TV Sci-Fi & Fantasy",An engaging story that captivated audiences worldwide.
s74,Movie,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",United States,"October 11, 2015",2012,R,165 min,"Action & Adventure, Dramas",A high-stakes adventure packed with action and spectacle.
s75,Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi",Nigeria,"December 26, 2020",2018,TV-MA,169 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s76,TV Show,Mindhunter,,"Jonathan Groff, Holt McCallany",United States,"April 18, 2021",2017,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s77,TV Show,Wentworth,,"Danielle Cormack, Kate Atkinson",Australia,"May 30, 2016",2013,TV-MA,8 Seasons,"International TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s78,Movie,The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",United States,"June 09, 2016",2013,R,180 min,"Comedies, Dramas",A lighthearted tale full of humor and unexpected laughs.
s79,Movie,The Shawshank Redemption,Frank Darabont,"Tim Robbins, Morgan Freeman",United States,"April 30, 2020",1994,R,142 min,Dramas,A gripping story exploring complex characters and difficult choices.
s80,Movie,Marriage Story,Noah Baumbach,"Adam Driver, Scarlett Johansson",United States,"August 27, 2021",2019,R,137 min,"Dramas, Romantic Movies",A gripping story exploring complex characters and difficult choices.
s81,Movie,La Vita e Bella,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",Italy,"March 01, 2021",1997,PG-13,116 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s82,Movie,Dangal,Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh",India,"November 07, 2017",2016,PG,161 min,"Dramas, International Movies, Sports Movies",A gripping story exploring complex characters and difficult choices.
s83,Movie,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey","Shameik Moore, Jake Johnson",United States,"June 27, 2019",2018,PG,117 min,"Children & Family Movies, Sci-Fi & Fantasy",A heartwarming story for viewers of all ages.
s84,Movie,Four Weddings and a Funeral,Mike Newell,"Hugh Grant, Andie MacDowell",United Kingdom,"December 01, 2020",1994,R,117 min,"Comedies, Romantic Movies",A lighthearted tale full of humor and unexpected laughs.
s85,Movie,"Crouching Tiger, Hidden Dragon",Ang Lee,"Chow Yun-fat, Michelle Yeoh",China,"September 30, 2019",2000,PG-13,120 min,"Action & Adventure, International Movies",A high-stakes adventure packed with action and spectacle.
s86,Movie,La Haine,Mathieu Kassovitz,"Vincent Cassel, Hubert Kounde",France,"May 17, 2017",1995,NR,98 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s87,Movie,Arrival,Denis Villeneuve,"Amy Adams, Jeremy Renner",United States,"April 03, 2018",2016,PG-13,116 min,"Sci-Fi & Fantasy, Dramas",A imaginative journey into speculative and fantastical worlds.
s88,TV Show,Kingdom,,"Ju Ji-hoon, Bae Doona",South Korea,"December 31, 2020",2019,TV-MA,2 Seasons,"International TV Shows, TV Horror",An engaging story that captivated audiences worldwide.
s89,Movie,In the Mood for Love,Wong Kar-wai,"Tony Leung Chiu-wai, Maggie Cheung",Hong Kong,"June 30, 2018",2000,PG,98 min,"Dramas, International Movies, Romantic Movies",A gripping story exploring complex characters and difficult choices.
s90,Movie,The Wedding Party,Kemi Adetiba,"Adesua Etomi, Banky Wellington",Nigeria,"June 22, 2020",2016,PG-13,105 min,"Comedies, International Movies",A lighthearted tale full of humor and unexpected laughs.
s91,TV Show,Sacred Games,,"Saif Ali Khan, Nawazuddin Siddiqui",India,"August 23, 2021",2018,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows",An engaging story that captivated audiences worldwide.
s92,Movie,Toy Story,John Lasseter,"Tom Hanks, Tim Allen",United States,"March 10, 2019",1995,G,81 min,Children & Family Movies,A heartwarming story for viewers of all ages.
s93,Movie,The Grand Budapest Hotel,Wes Anderson,"Ralph Fiennes, Tony Revolori",United States,"November 30, 2019",2014,R,99 min,Comedies,A lighthearted tale full of humor and unexpected laughs.
s94,Movie,Cinema Paradiso,Giuseppe Tornatore,"Philippe Noiret, Salvatore Cascio",Italy,"October 20, 2020",1988,PG,155 min,"Dramas, International Movies",A gripping story exploring complex characters and difficult choices.
s95,TV Show,The Witcher,,"Henry Cavill, Freya Allan",United States,"April 07, 2020",2019,TV-MA,3 Seasons,"TV Sci-Fi & Fantasy, TV Action & Adventure",A imaginative journey into speculative and fantastical worlds.
s96,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page",United States,"May 10, 2016",2010,PG-13,148 min,"Sci-Fi & Fantasy, Action & Adventure",A imaginative journey into speculative and fantastical worlds.
s97,Movie,Love Actually,Richard Curtis,"Hugh Grant, Liam Neeson, Emma Thompson",United Kingdom,"October 12, 2017",2003,R,135 min,"Comedies, Romantic Movies",A lighthearted tale full of humor and unexpected laughs.
s98,Movie,Akira,Katsuhiro Otomo,"Mitsuo Iwata, Nozomu Sasaki",Japan,"July 09, 2017",1988,R,124 min,"Anime Features, Sci-Fi & Fantasy",An animated feature with striking visuals and storytelling.
s99,Movie,Gladiator,Ridley Scott,"Russell Crowe, Joaquin Phoenix",United States,"September 20, 2015",2000,R,155 min,"Action & Adventure, Dramas",A high-stakes adventure packed with action and spectacle.
s100,Movie,Oldboy,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae",South Korea,"October 16, 2018",2003,R,120 min,"Thrillers, International Movies",A suspenseful ride that keeps viewers on the edge of their seats.
s101,Movie,Barbie,Greta Gerwig,"Margot Robbie, Ryan Gosling",United States,"March 28, 2015",2023,PG-13,114 min,Comedies,A lighthearted tale full of humor and unexpected laughs.
s102,TV Show,Elite,,"Itzan Escamilla, Miguel Bernardeau",Spain,"April 19, 2021",2018,TV-MA,8 Seasons,"International TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s103,Movie,Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons",United States,"March 18, 2021",2014,R,106 min,"Dramas, Music & Musicals",A gripping story exploring complex characters and difficult choices.
s104,Movie,Uncut Gems,"Josh Safdie, Benny Safdie","Adam Sandler, Julia Fox",United States,"August 24, 2019",2019,R,135 min,"Thrillers, Dramas",A suspenseful ride that keeps viewers on the edge of their seats.
s105,Movie,Once Upon a Time in Hollywood,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie",United States,"August 25, 2020",2019,R,161 min,"Dramas, Comedies",A gripping story exploring complex characters and difficult choices.
s106,Movie,Coco,"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael Garcia Bernal",United States,"March 28, 2018",2017,PG,105 min,"Children & Family Movies, Music & Musicals",A heartwarming story for viewers of all ages.
s107,Movie,Up,Pete Docter,"Edward Asner, Jordan Nagai",United States,"January 30, 2015",2009,PG,96 min,"Children & Family Movies, Dramas",A heartwarming story for viewers of all ages.
s108,TV Show,Breaking Bad,,"Bryan Cranston, Aaron Paul, Anna Gunn",United States,"October 18, 2015",2008,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas",An engaging story that captivated audiences worldwide.
s109,Movie,Room,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",Canada,"August 30, 2015",2015,R,118 min,Dramas,A gripping story exploring complex characters and difficult choices.
s110,Movie,Forrest Gump,Robert Zemeckis,"Tom Hanks, Robin Wright",United States,"July 26, 2017",1994,PG-13,142 min,"Dramas, Romantic Movies",A gripping story exploring complex characters and difficult choices.
s111,Movie,La La Land,Damien Chazelle,"Ryan Gosling, Emma Stone",United States,"October 03, 2016",2016,PG-13,128 min,"Music & Musicals, Romantic Movies",A vibrant story told through music and performance.
s112,Movie,Amelie,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",France,"May 09, 2015",2001,R,122 min,"Comedies, International Movies, Romantic Movies",A lighthearted tale full of humor and unexpected laughs.
